county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
69,Hardeman County,1,1,1,52.4,32.9,47,27.2,36.3,61.2,50.8,24.2,48,50,3679,53.5,1.7,0.1,0,15.2,81.8,9820.7,17.7,12.5,8.7,0.1,86.3,21900,7693,8996,3018,668,1525,16231,6375,2015,94.9,97.7,96.3,0.3512785,0.4107763,0.13780822,0.030502283,0.0696347,0.7411416,0.2910959,Low
71,Hardin County,1,2,1,57.6,61.3,57.4,49.2,43.6,72.4,58.4,47.6,43.4,63,3474,5.9,2.3,0.4,0.2,17.4,75.1,8709.4,18.9,17.5,2.8,0.4,91,21464,4436,10997,3479,343,2209,13244,2795,2015,97.7,99,95.6,0.2066716,0.5123463,0.16208535,0.015980246,0.10291651,0.6170332,0.130218,Medium
73,Hawkins County,1,1,1,69.7,51.4,58.4,45.3,45.7,70.3,55.5,45.1,54.1,65.8,6900,1.9,2.5,0.3,0.3,15.5,61.6,9131.7,19.3,13.5,5.1,0.2,91.5,46741,10299,24616,6436,1327,4063,30411,7344,2015,95.3,98.2,94.5,0.2203419,0.5266468,0.13769496,0.028390492,0.08692583,0.6506279,0.1571212,Medium
73,Hawkins County,3,4,4,102.30949,97.76086,75.23857,79.791006,61.6,82.1734,65.90674,66.60965,65.3,80.2,617,4.2,2.3,0.3,1.7,11.7,52.2,9441.7,21.60782,8.8,0,0,97.0868,46741,10299,24616,6436,1327,4063,30411,7344,2015,95.3,99.62616,98.148,0.2203419,0.5266468,0.13769496,0.028390492,0.08692583,0.6506279,0.1571212,High
75,Haywood County,1,1,1,57.6,32,46.1,28,33.9,61.6,43.6,28.6,44.5,43.5,2879,63.2,7,0,1.9,14.4,75.7,9888.4,17.4,13.1,3,0,85.2,14664,4727,6301,1869,596,1171,12052,4164,2015,95.9,99.3,94.3,0.3223541,0.4296918,0.12745499,0.040643753,0.07985543,0.8218767,0.2839607,Low
77,Henderson County,5,5,5,86,88.4,76.4,53.7,53.3,81.1,77.7,51.8,72.1,71.2,3781,8.1,2.2,0,0,14.5,61.4,8412.5,19.5,10.8,0,0,96.4,22505,5252,11585,3245,746,1677,16461,4013,2015,95.5,98.7,93.9,0.2333704,0.5147745,0.14419018,0.033148189,0.07451677,0.7314375,0.1783159,High
77,Henderson County,1,1,2,82.17959,67.33238,58.45349,43.285127,46.7,71.98816,67.3056,39.56844,67,70.2,925,25,6.5,0.1,1.9,13.2,62,9925.9,19.441,10.8,0,0,86.42772,22505,5252,11585,3245,746,1677,16461,4013,2015,95,100,91.81062,0.2333704,0.5147745,0.14419018,0.033148189,0.07451677,0.7314375,0.1783159,Low
79,Henry County,3,1,3,78.5,57.9,83.8,59.2,52.7,76.6,70.3,56.4,68.6,78.1,2946,7.2,2.3,0.1,0,12.9,60.3,9285,19.6,8.4,0.3,0,92,26666,5290,14730,4119,460,2067,13883,2879,2015,95.7,99,94.6,0.19838,0.5523888,0.15446636,0.017250431,0.07751444,0.5206255,0.1079652,Medium
79,Henry County,4,2,3,100,79.74705,73.0824,58.578894,52.3,70.13928,64.90917,51.36214,60.6,76.6,1655,25.9,2,0,0.7,17.7,63.6,8840.9,20.49523,6.9,2.4,0,96.15502,26666,5290,14730,4119,460,2067,13883,2879,2015,96.1,100.27917,95.04431,0.19838,0.5523888,0.15446636,0.017250431,0.07751444,0.5206255,0.1079652,High
81,Hickman County,2,3,1,40.2,22.6,54.2,45.1,48.9,60.3,57.5,31.3,58.1,68,3439,3.2,1.7,0.5,0.6,18.1,69.1,8965.8,18.4,17.3,1.6,0,92.5,19980,5245,9814,2927,566,1428,13842,4033,2015,94.3,50,90.5,0.2625125,0.4911912,0.1464965,0.028328328,0.07147147,0.6927928,0.2018519,Medium
83,Houston County,3,1,4,58.6,64.9,69.4,34,44.5,60.4,66.4,48.6,55.9,63,1298,5.1,2.2,0.7,0,16.3,56.7,9187.7,19.2,26.3,0.2,0,95.8,6689,1509,3796,776,84,524,4427,1250,2015,90.8,101.34108,92.5,0.2255943,0.5674989,0.11601136,0.012557931,0.07833757,0.6618329,0.186874,High
85,Humphreys County,1,1,1,51.7,38.2,74.1,45.6,47,77.1,73.8,42.8,51.3,67.8,2738,4.6,1.9,0.4,0.4,15.6,58,8856.2,18.9,13.5,1.5,0.1,84.5,14976,3222,8203,2316,221,1014,9922,2288,2015,94,94.5,95.5,0.2151442,0.5477431,0.15464744,0.014756944,0.06770833,0.6625267,0.1527778,Low
87,Jackson County,1,2,1,45.9,33.3,68.9,50,42.8,61.8,47.3,46.3,45.3,64.7,1505,0.9,1.5,0.3,0,19.7,83.4,9165.8,18.4,8.2,0,0,87.4,9683,2203,4920,1370,274,916,6482,1705,2015,95.1,95.31953,94.3,0.2275121,0.508107,0.14148508,0.028297015,0.09459878,0.6694206,0.1760818,Low
89,Jefferson County,5,5,5,80.4,53.7,76.5,49.5,40.9,76.4,70.1,38.1,50.2,62.2,7136,3.2,7,0.3,3.8,12.6,62.1,8627.7,19.5,13.2,1.8,0,89.7,43565,10545,23262,5587,1043,3128,25113,6697,2015,95,98.9,93.2,0.2420521,0.5339607,0.12824515,0.023941237,0.07180076,0.576449,0.1537243,Low
91,Johnson County,1,1,1,74.7,40,65.2,33.3,49.8,67.1,50,23.5,52,70.8,2069,0.7,3.8,0.2,1.3,18.5,80.9,10449.2,19.2,12.3,0,0,98.6,15371,3545,8200,2144,370,1112,6973,1735,2015,94.9,99.6,96.2,0.2306291,0.5334721,0.13948344,0.024071303,0.07234402,0.4536465,0.1128749,High
93,Knox County,5,5,5,73.1,62.8,70.3,49.6,53.3,76.8,71.3,45.3,55.2,68.4,56383,16.6,7.2,0.4,4.3,13.9,40,9043,20.7,9.4,6.1,0,88.7,364834,113816,178842,43838,6177,22161,205982,71973,2015,96.3,99.6,94.3,0.3119665,0.490201,0.12015876,0.016930988,0.06074269,0.564591,0.197276,Low
95,Lake County,1,1,1,22.9,44.56423,25,36.5,32.5,36.8,34.6,31.7,34.7,45.6,807,30.2,3.3,0.1,0.1,18.6,77,10813,16.4,31.2,5.5,0.1,89.4,6623,2567,2180,1118,265,493,4666,1874,2015,94.1,97.2,91.7,0.3875887,0.329156,0.16880568,0.040012079,0.07443757,0.7045146,0.2829533,Low
97,Lauderdale County,5,4,5,79.9,63.6,51.9,32.6,40.5,62,57.6,37.4,53.6,62,4263,43.6,3.1,0.9,0.9,17.1,81.3,8877.3,17.6,9.5,6.7,0,97,22148,7530,9075,3157,791,1595,16650,5973,2015,95.6,99.7,96.4,0.3399856,0.4097435,0.14254109,0.035714286,0.07201553,0.7517609,0.2696858,High
99,Lawrence County,4,2,5,87.2,63.3,75.9,55.8,57.3,77.9,70.1,38.8,69.1,75.4,6434,3.4,2.5,0.2,0.6,14.2,50.5,8387.1,19.2,20.7,2,0,94.5,33344,7321,18398,4180,752,2693,22458,5292,2015,98.7,97.7,94.6,0.2195597,0.5517634,0.12535988,0.022552783,0.08076416,0.6735245,0.1587092,Medium
